N/A;USD TO AUD 1M FWD PTS - EXCHANGE RATE;USD TO AUD 3M FWD PTS - EXCHANGE RATE;USD TO AUD 6M FWD PTS - EXCHANGE RATE;USD TO AUD 9M FWD PTS - EXCHANGE RATE;USD TO EUR 1M FWD PTS - EXCHANGE RATE;USD TO EUR 3M FWD PTS - EXCHANGE RATE;USD TO EUR 6M FWD PTS - EXCHANGE RATE;USD TO EUR 9M FWD PTS - EXCHANGE RATE;USD TO NZD 1M FWD PTS - EXCHANGE RATE;USD TO NZD 3M FWD PTS - EXCHANGE RATE;USD TO NZD 6M FWD PTS - EXCHANGE RATE;USD TO NZD 9M FWD PTS - EXCHANGE RATE;SEK TO USD 1M FWD PTS - EXCHANGE RATE;SEK TO USD 3M FWD PTS - EXCHANGE RATE;SEK TO USD 6M FWD PTS - EXCHANGE RATE;SEK TO USD 9M FWD PTS - EXCHANGE RATE;NOK TO USD 1M FWD PTS - EXCHANGE RATE;NOK TO USD 3M FWD PTS - EXCHANGE RATE;NOK TO USD 6M FWD PTS - EXCHANGE RATE;NOK TO USD 9M FWD PTS - EXCHANGE RATE;USD TO GBP 1M FWD PTS - EXCHANGE RATE;USD TO GBP 3M FWD PTS - EXCHANGE RATE;USD TO GBP 6M FWD PTS - EXCHANGE RATE;USD TO GBP 9M FWD PTS - EXCHANGE RATE;JPY TO USD 1M FWD PTS - EXCHANGE RATE;JPY TO USD 3M FWD PTS - EXCHANGE RATE;JPY TO USD 6M FWD PTS - EXCHANGE RATE;JPY TO USD 9M FWD PTS - EXCHANGE RATE;CAD TO USD 1M FWD PTS - EXCHANGE RATE;CAD TO USD 3M FWD PTS - EXCHANGE RATE;CAD TO USD 6M FWD PTS - EXCHANGE RATE;CAD TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD 1M FWD PTS - EXCHANGE RATE;CHF TO USD 3M FWD PTS - EXCHANGE RATE;CHF TO USD 6M FWD PTS - EXCHANGE RATE;CHF TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD (LSEG DS) - EXCHANGE RATE;EURO TO US $ (RFV) - EXCHANGE RATE;CAD TO USD (LSEG DS) - EXCHANGE RATE;AUD TO USD (LSEG DS) - EXCHANGE RATE;NZD TO USD (LSEG DS) - EXCHANGE RATE;GBP TO US $ (LSEG DS) - EXCHANGE RATE;JPY TO USD (LSEG DS) - EXCHANGE RATE;NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE;SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE;Gold, USD FX Comp. U$/Troy Oz;Silver Commodity Cash Spot;Platinum,Free Market $/troy oz;Palladium, USD FX Comp. U$/Troy Oz
Code;AUD1MFP;AUD3MFP;AUD6MFP;AUD9MFP;EUR1MFP;EUR3MFP;EUR6MFP;EUR9MFP;NZD1MFP;NZD3MFP;NZD6MFP;NZD9MFP;SEK1MFP;SEK3MFP;SEK6MFP;SEK9MFP;NOK1MFP;NOK3MFP;NOK6MFP;NOK9MFP;GBP1MFP;GBP3MFP;GBP6MFP;GBP9MFP;JPY1MFP;JPY3MFP;JPY6MFP;JPY9MFP;CAD1MFP;CAD3MFP;CAD6MFP;CAD9MFP;CHF1MFP;CHF3MFP;CHF6MFP;CHF9MFP;TDCHFSP;EUDOLLR;TDCADSP;TDAUDSI;TDNZDSI;TSUSDSP;TDJPYSP;NORKRO$;SWEKRO$;GOLDUSD;SILVCSP;PLTFREE;PALLUSD
08.07.2024;5.84;15.15;25.3;29.25;16.52;46.64;95.85001;139.44;-0.05;-0.27;-1.35;-3.65;-167.41;-488.48;-1018;-1486.72;-88;-225;-382.26;-476;2.75;8.7;16.67;21.495;-81.86;-219.6;-432.3601;-614.79;-10.02;-30.98;-62.95;-88.4;-34.99;-100.3;-193.15;-278.6599;0.8977;0.92298;1.36355;1.48445;1.63252;0.7808;160.83;10.5801;10.54505;2359.15;30.815;1007.65;1012.5
09.07.2024;5.86;15.5;25.56;29.25;16.01;46.53;96.605;139.005;-0.05;-0.29;-1.32;-3.27;-162.7;-488.45;-1023.5;-1480.035;-85.5;-223.95;-381.5;-475;2.66;8.6;16.60001;21.05;-79.52;-220.07;-437.55;-613.75;-10.52;-30.75;-62.8;-87.6;-33.88;-100.3;-195.2;-278.6001;0.8979;0.92456;1.3636;1.48357;1.63265;0.7821;161.325;10.61255;10.56215;2363.94;30.8025;997.65;984.04
10.07.2024;5.71;16.09;26.02;29.95;15.48;48.12;95.88;139.14;-0.1;0.32;2.06;3.19;-157.93;-509.05;-1019;-1491.82;-85.05;-235;-392;-501;2.5;8.46;16.00999;20.10001;-77.59;-227.63;-437.8501;-620.335;-10.13;-30.93;-64.24;-88.95;-32.81;-100.1;-193.745;-280.29;0.8996;0.92387;1.362;1.48192;1.64433;0.7783;161.685;10.71505;10.54575;2371.425;30.8155;996.2;989.52
11.07.2024;5.54;14.3;24.1;26.83;15.56;46.545;94.285;135.65;-0.05;0.25;0.79;1.56;-157;-486.01;-1002.68;-1442.72;-84.52;-221.91;-372.42;-509;2.61;7.87;13.38;15.205;-73.73;-215.78;-420.8999;-595.29;-10.13;-32;-61.79;-85.26;-32.79;-100.1;-190.455;-273.7749;0.8964;0.9192;1.3634;1.47929;1.64069;0.77435;158.815;10.6972;10.46925;2415.13;31.46;1004.45;998.02
12.07.2024;5.49;15.07;23.85;26.98;15.75;46.86;94.8;134.97;-0.11;0.06;1.14;1.2;-159.5;-508.7051;-1031.735;-1480.045;-84.07;-222.32;-368.66;-454.13;2.66;7.83;12.62;12.765;-78.1;-214.56;-418.155;-591.5;-10.11;-31.55;-62.82;-86.41;-32.84;-100.1;-190.07;-272.52;0.8942;0.91663;1.3633;1.47406;1.63425;0.7696;157.895;10.72735;10.522;2411.655;30.795;997;971.88
15.07.2024;5.81;15.08;24.07;26.43;16.78;46.71001;93.395;133.8;-0.06;0.09;0.68;1.25;-169.48;-501.2749;-1029;-1484.125;-89.23;-221.8;-360;-431;2.94;7.51;11.31;10.725;-78.22;-214.64;-417.135;-588.4551;-10.3;-31.91;-62.94;-86.91;-35.14;-100.1;-190.585;-272.1499;0.8958;0.916;1.36825;1.47929;1.64609;0.7711;158.025;10.78225;10.57985;2422.415;31.035;988.85;953.07
16.07.2024;5.81;15.24;24.62;27.75;16.21;46.67;95.215;135.945;-0.03;0.16;1.4;2.3;-164.51;-496.95;-1049.23;-1519.92;-85.6;-219.23;-361.21;-428.93;2.93;7.64;11.6;10.935;-75.82;-214.395;-423.2749;-588.395;-11.15;-32.51;-64.31;-88.12;-33.95;-100.1;-192.7;-275.1499;0.8936;0.9192;1.3673;1.485;1.65344;0.7712;158.355;10.83785;10.6191;2468.945;31.405;990.38;961.98
17.07.2024;5.59;15.4;24.59;27.55;15.82;48.075;95.53999;135.29;0.04;0.09;0.63;1.6;-157.8;-515.1899;-1050;-1526.625;-83.1;-224.38;-359;-435;2.72;7.44;11.16;10.125;-72.49;-216.55;-416.415;-585.3;-10.88;-32.4;-64.75;-88.74;-32.49;-100.1;-190.325;-272.23;0.8834;0.91479;1.3684;1.48588;1.64636;0.7687;156.175;10.74925;10.5516;2458.76;30.301;1013.9;955.03
18.07.2024;5.45;14.56;23.25;25.83;15.73;46.81;94.49001;135.6;-0.05;-0.07;0.87;1.84;-160.6;-508.8701;-1055.3;-1521.025;-78.77;-212.43;-358.3;-433.05;2.97;7.72;12.61;13.03;-72.98;-213.055;-413.74;-583.415;-10.59;-33.24;-64.43;-88.13;-32.6;-100.1;-188.88;-270.4399;0.8877;0.91617;1.3706;1.49131;1.6544;0.77255;157.375;10.7643;10.55565;2445.34;30.095;997.35;933.04
19.07.2024;5.37;14.36;22.76;25.34;15.69;46.675;94.34;135.57;-0.05;-0.1;1.15;3.11;-160.8;-511.3999;-1059.97;-1550.525;-79.9;-215.32;-361;-441.5;3.03;7.77;12.33;12.805;-73.15;-213.41;-415.25;-585.865;-10.97;-32.82;-64.65;-88.6;-32.65;-100.1;-189.18;-270.8799;0.8892;0.91827;1.3734;1.49633;1.66403;0.77395;157.505;10.88385;10.6699;2401.195;29.285;964.93;908.79
22.07.2024;5.56;14.07;22.55;25.48;16.74;46.785;94.25;135.54;0;-0.03;1.8;3.69;-174.51;-512.5;-1070;-1560.5;-88.5;-219.68;-367.26;-448;3.34;7.43;11.325;10.4;-77.69;-213.155;-414.4851;-585.3301;-11.03;-33.08;-65.3;-88.6;-34.77;-100.1;-189.75;-272.2;0.8897;0.9187;1.3753;1.50534;1.67224;0.77325;157.02;10.9793;10.726;2398.01;29.225;949.1;909.5
23.07.2024;5.1;13.25;21.98;24.31;16.17;46.73;95.19501;135.92;-0.05;0.06;1.75;3.68;-169;-512;-1083.35;-1568.81;-86.1;-220;-372;-453;3.25;7.6;11.94;11.12;-74.56;-210.95;-413.2351;-577.375;-11.77;-32.88;-64.93;-88.96;-33.87;-100.1;-191.87;-272.7151;0.8912;0.92204;1.3783;1.51172;1.67785;0.7748;155.595;11.041;10.7731;2409.565;29.245;947.75;929.78
24.07.2024;4.64;12.97;19.95;21.41;15.64;47.58501;94.63499;136.84;-0.01;0.01;2.15;4.49;-163.2;-519;-1066;-1564.15;-84.05;-223;-358;-437;3.27;7.68;11.68;10.975;-71.1;-211.45;-403.6201;-568.03;-12.14;-34.95;-69.9;-88.96;-32.67;-100.1;-189.23;-271.8301;0.88515;0.92132;1.38075;1.51941;1.6862;0.7748;153.885;11.0199;10.7642;2397.945;29.015;964;935.67
25.07.2024;4.88;12.93;20.35;22.54;15.65;47.02;95.35001;138.28;0.07;0.18;1.57;4.39;-164.76;-512.55;-1061;-1556.13;-84.1;-217.23;-349;-419;3.39;8.24;12.7;12.56;-71.26;-207.54;-401.0449;-566.7649;-11.96;-36.12;-69.84;-88.96;-32.49;-100.1;-188.195;-270.21;0.8817;0.92119;1.38245;1.5294;1.69866;0.7781;153.945;11.0299;10.8047;2364.87;27.9888;936.26;909.51
26.07.2024;4.98;12.85;19.87;21.37;15.62;46.72501;94.10001;136.9;0.02;0.06;1.33;3.42;-166.36;-509.25;-1057;-1558.85;-83.63;-214.18;-340.77;-397.99;3.43;8.27;12.68;12.27;-71.16;-206.46;-399.3501;-561.25;-12.04;-35.49;-69.92;-88.96;-32.47;-100.1;-187.64;-268.5349;0.8838;0.92115;1.3835;1.52695;1.69578;0.77715;153.725;11.02985;10.80785;2386.825;27.915;936.63;902.96
29.07.2024;4.79;12.78;19.91;21.48;15.09;46.62;94.55;137.83;0.13;0.23;2.2;5.2;-161.4;-515.01;-1068;-1560.35;-81.27;-214;-344;-411.71;3.31;8.17;13.08;13.34;-69.42;-207.78;-402.0149;-563.2949;-12.11;-36.14;-72.1;-100.99;-31.49;-100.1;-188.44;-269.53;0.8861;0.92456;1.3853;1.52695;1.70184;0.77755;154.025;11.0027;10.82975;2383.915;27.885;948.15;907.51
30.07.2024;5.24;12.7;19.36;20.65;16.65;46.74001;95.63499;138.16;0.24;0.36;1.59;3.05;-180.74;-513.0801;-1064.73;-1548.98;-88.85;-211.13;-337;-389.91;3.79;8.21;12.275;12.325;-75.63;-205.26;-398.2849;-554.7749;-11.97;-36.88;-73.68;-102.95;-33.5;-100.1;-188.06;-267.4099;0.8826;0.9255;1.38495;1.52952;1.69391;0.7791;152.765;10.9695;10.79175;2408.655;28.415;960.13;892.75
31.07.2024;5.5;14.16;23;26.68;16.1;47.91499;94.545;137.27;0.39;0.38;0.75;1.63;-173;-523;-1057.36;-1516.13;-86.75;-214.85;-329;-373;3.88;8.48;12.43;10.3;-71.11;-205.52;-385.5901;-534.3201;-12.73;-36.57;-73.04;-100.46;-32.45;-100.1;-185.11;-264.145;0.878;0.92413;1.38085;1.52882;1.68081;0.7778;149.985;10.9345;10.7176;2448.455;29.065;975.75;939.05
01.08.2024;5.41;13.58;20.1;21.55;15.57;46.41499;90.03999;130.02;0.35;0.13;-1.16;-1.88;-170.8;-510.5;-1028.27;-1470.16;-83.8;-201.88;-286;-313;4.82;9.82;11.33;8.55;-68.69;-197.595;-375.03;-522.7251;-12.43;-37.21;-70.16;-100.46;-32.23;-100.1;-180.915;-256.0549;0.8729;0.92657;1.38755;1.53823;1.6811;0.78495;149.365;10.8937;10.68705;2445.798;28.575;976.85;909.03
02.08.2024;5.98;13.39;16.25;14.34;15.69;46.33501;86.22;120.14;0.55;-0.18;-3;-8.17;-168.83;-493.3601;-1028.27;-1284.15;-84.07;-182.57;-197.5;-157.98;4.85;9.09;3.925;-6.28;-67.81;-192.86;-357.885;-491.55;-12.12;-36.07;-62.71;-82.34;-31.7;-100.1;-173.3;-241.82;0.8577;0.91554;1.3873;1.5361;1.67856;0.7813;146.545;10.95675;10.57175;2443.55;28.565;969.8;893.75
05.08.2024;5.85;12.78;17.85;17.97;16.82;45.825;86.27499;122.425;0.68;0.46;-1.7;-3.7;-183.24;-496;-1028.27;-1352.05;-84.07;-201.1;-245;-248.07;5.03;8.1;2.335;-8.76;-70.76;-188.41;-354.54;-488.4651;-11.8;-34.29;-60.51;-83;-34.1;-100.1;-174.615;-245.165;0.85245;0.91079;1.38245;1.53893;1.68336;0.78265;144.195;11.03235;10.53415;2408.01;27.3;915.15;852.5
06.08.2024;5.7;12.9;16.37;15.45;16.24;45.67;86.8;122.995;0.75;0.8;-0.45;-1.44;-177.44;-489.8999;-1028.27;-1376.06;-87.8;-182.73;-257;-258.43;4.86;8.49;5.24;-1.9;-68.37;-188.42;-358.6201;-492.2649;-12.93;-35.09;-61.68;-83.1;-32.74;-100.1;-176.5;-245.6;0.85145;0.91458;1.37855;1.53362;1.67968;0.7879;144.325;10.91415;10.5309;2389.67;27.065;912.4;878.54
07.08.2024;5.54;12.67;15.21;13.35;15.6;46.69;87.00999;120.925;0.26;-1.51;-5.35;-1.44;-170.11;-493.125;-1028.27;-1325.22;-85.27;-188.9;-236;-213.07;4.59;8.13;4.16;-4.955;-67.11;-197.03;-361.3999;-497.415;-12.54;-35.34;-62.33;-81.46;-31.82;-100.1;-176.06;-245.24;0.8617;0.9147;1.37585;1.53374;1.6682;0.78795;146.695;10.7517;10.448;2382.785;26.6041;922.71;886.28
08.08.2024;5.64;13.05;16.76;15.97;15.75;45.92;87.565;125.53;0.63;0.16;-1.7;-2.9;-174;-493.075;-1028.27;-1374.01;-85.05;-189.93;-234;-234.99;4.73;8.51;5.64;-2.14;-67.74;-191.94;-362.75;-502.3;-12.68;-36.12;-64.25;-84.54;-32.01;-100.1;-177.65;-249.69;0.8667;0.9168;1.37315;1.51688;1.66279;0.7844;147.285;10.84755;10.53355;2427.093;27.59;927.05;926.55
09.08.2024;5.69;13.23;17.99;17.6;15.73;46.11501;88.22;127.545;0.49;0.03;-1.64;-2.34;-174.29;-504.7;-1028.27;-1408;-84.12;-195.23;-228.68;-249.36;4.69;8.84;7.35;1.095;-73.87;-191.55;-362.47;-502.3301;-12.64;-36.26;-66.63;-88.55;-31.99;-100.1;-178.82;-251.91;0.86545;0.9155;1.37305;1.52149;1.66708;0.78355;146.63;10.80105;10.50355;2431.208;27.4617;925.2;908.02
12.08.2024;6.05;13.26;17.8;16.88;16.7;46.10001;88.78;127.21;0.63;0.06;-1.53;-2.65;-187.6;-497.925;-1028.27;-1414.5;-84.12;-191;-242;-253;5.04;8.74;6.96;0.29;-74.12;-192.265;-363.8049;-504.05;-12.69;-36.23;-66.04;-88.71;-34.12;-100.1;-179.255;-252.14;0.8652;0.91479;1.37425;1.51826;1.66168;0.7834;147.205;10.77075;10.51685;2472.625;28.035;948.25;922.65
13.08.2024;6.05;13.58;17.59;16.61;16.39;46.84;89.155;124.695;0.77;0.14;-2.55;-5.3;-182.2;-505.2051;-1010;-1417.655;-86.5;-182;-216.8;-204.01;4.85;8.28;4.47;-4.65;-72.29;-191.815;-365.6899;-497.3999;-13.79;-36.24;-64.47;-83.59;-33.2;-100.1;-180.83;-248.95;0.86475;0.91274;1.3705;1.5075;1.64528;0.7776;146.835;10.77265;10.50615;2465.4;27.8537;937.4;942.51
14.08.2024;5.96;14.04;19.15;19.63;15.94;47.69;90.06;126.52;1.22;1.67;1.24;1;-176.8;-523.0701;-1022;-1446.8;-83.4;-184;-218.51;-215.7;4.87;9.38;7.64;0.365;-70.37;-197.5;-368.1699;-502.855;-13.55;-36.95;-68.07;-89.31;-32.22;-100.1;-180.995;-250.89;0.8652;0.90621;1.37165;1.51595;1.6675;0.7796;147.33;10.6692;10.4241;2448.145;27.615;929.71;938.16
15.08.2024;5.93;13.85;19.3;20.35;15.89;46.7;89.965;128.45;1.22;2.45;4.3;7.2;-179.4;-520.8101;-1043;-1490.51;-83.7;-186;-243;-249;4.69;9.22;9.33;4.06;-68.82;-195.66;-371.9399;-516.625;-12.9;-37.63;-70.31;-89.31;-32.34;-100.1;-181.335;-255.62;0.87265;0.91042;1.3729;1.51229;1.67056;0.77795;149.28;10.7033;10.498;2456.565;28.415;954.36;948.03
16.08.2024;5.91;13.77;19;19.77;15.99;47.03;90.10001;130.195;1.07;2.2;3.9;6.48;-178.4;-511.0249;-1044;-1465.53;-82.12;-177.05;-228.05;-222.63;4.65;9.06;7.595;0.9;-67.87;-192.87;-365.5549;-505.625;-13.21;-37.17;-68.67;-89.31;-32.1;-100.1;-179.45;-252.83;0.8663;0.90984;1.36795;1.49948;1.65166;0.7725;147.6;10.7415;10.5013;2508.098;29.0325;954.1;953.75
19.08.2024;6.15;13.82;19.4;20.45;17.04;47.355;91.3;130.16;1.13;2.13;3.5;5.05;-183.2;-508.5;-1026.25;-1476.85;-86;-179.43;-235;-238.57;4.79;9.22;8.58;1.85;-73.13;-190.835;-361.6699;-500.3201;-13.27;-37.03;-67.4;-89.31;-33.88;-100.1;-180.025;-253.56;0.8628;0.90375;1.36345;1.48577;1.63572;0.7697;146.595;10.5766;10.3276;2504.242;29.5;948.95;935.02
20.08.2024;5.95;13.59;18.5;18.28;16.54;46.99001;90.46001;127.08;1.07;1.89;2.57;1.05;-177.4;-499.375;-1026.25;-1405.025;-81.2;-178;-236;-239;4.56;8.505;5.64;-3.8;-70.85;-187.975;-359.825;-489.2451;-14.05;-36.98;-67.21;-89.77;-32.57;-100.1;-178.43;-247.62;0.85405;0.89997;1.3621;1.4828;1.62496;0.76725;145.255;10.513;10.23805;2514.042;29.4354;963.4;929.05
21.08.2024;5.8;13.36;17.34;16.94;16.09;47.55;89.13499;125.98;0.94;1.66;0.68;-0.9;-172;-508.5;-1026.25;-1387.42;-78.52;-169;-220.95;-222.32;4.62;8.19;4.34;-5.645;-68.05;-191.07;-355.8999;-485.3501;-13.85;-36.85;-65.9;-85.96;-31.34;-100.1;-175.25;-244.09;0.85175;0.89876;1.35955;1.48291;1.62417;0.76375;145.285;10.50735;10.22155;2512.253;29.65;970.95;955.22
22.08.2024;5.55;13.05;18.3;18.99;16;46.97;89.83501;127.895;0.94;2.11;2.68;1.4;-170.8;-505;-1001;-1436.9;-77.75;-173.35;-240;-257;4.25;8.18;5.47;-3.5;-66.12;-188.795;-357.0701;-494.25;-13.24;-37.55;-68.2;-89.9;-31.13;-100.1;-175.745;-247.21;0.8522;0.89964;1.3616;1.49154;1.6292;0.7639;146.275;10.5825;10.23955;2484.545;29.01;959.95;935.59
23.08.2024;5.52;12.9;16.96;16.01;16.03;46.59;88.25;124.485;0.92;1.52;0.96;-0.55;-168.57;-504.9299;-1000.725;-1416.425;-75.75;-166;-217;-213.07;4.28;7.59;3.55;-6.9;-64.88;-185.24;-348.5;-478;-13.15;-36.1;-64.82;-85.81;-30.88;-100.1;-172.765;-241.77;0.8482;0.89457;1.3508;1.472;1.60449;0.7569;144.39;10.50905;10.19455;2512.455;29.8375;946.05;965.5
26.08.2024;5.74;12.94;17.68;17.65;16.99;46.47;87.7;124.8;0.63;1.26;1.05;-0.2;-178.63;-513.4651;-1015.125;-1439.825;-80.75;-168.02;-218.87;-229.46;4.34;7.885;5.05;-4.4;-68.9;-187.5;-349.75;-481.1001;-13.2;-36.27;-65.75;-87.43;-32.88;-100.1;-172.99;-241.84;0.84725;0.89477;1.34875;1.47678;1.61173;0.75815;144.525;10.52255;10.19375;2518.135;29.925;976.28;961.53
27.08.2024;5.65;12.8;16.7;15.75;16.48;46.25999;86.75999;122.545;0.46;1.1;0.38;-1.83;-173.2;-500.55;-1002.8;-1427.925;-75.8;-164.16;-200;-185.76;4.09;7.3;2.215;-10.195;-66.47;-184.36;-344.98;-475.8;-12.78;-36.26;-64.09;-83.49;-31.48;-89.77;-170.19;-239.1;0.8416;0.89554;1.3443;1.47221;1.59949;0.7542;143.975;10.48405;10.18135;2524.92;30.015;954.65;973.52
28.08.2024;5.47;12.43;15.45;14.05;15.88;45.47;85.95;122.455;0.49;1.39;0.5;-1.55;-166.4;-505.21;-1009.25;-1443.645;-73.1;-159.05;-205;-200;3.84;6.6;1.75;-10.685;-64.22;-182.4;-343.835;-476.8999;-12.42;-35.89;-63.8;-83.3;-30.53;-88.87;-169.44;-238.77;0.84225;0.89847;1.34805;1.47373;1.60128;0.7581;144.58;10.4807;10.1752;2502.57;29.135;939.1;949.01
29.08.2024;5.04;11.95;14.65;12.79;15.24;45.31;85.86;123.7;0.61;1.52;0.67;-1.65;-163.2;-512.45;-1028.375;-1481.36;-68;-155;-203;-213.05;3.6;6.735;2.335;-10.685;-63.13;-182.52;-342.9751;-478.6101;-12.14;-35.84;-64.01;-83.34;-29.8;-89.48;-170;-241.22;0.8473;0.9033;1.3484;1.47102;1.59808;0.7594;144.985;10.5106;10.2473;2521.55;29.465;939.85;982.71
30.08.2024;5.06;11.9;14.45;12.55;15.16;44.67;84.105;121.035;0.47;1.31;0.3;-1.9;-161.85;-512.02;-1025;-1484.445;-68.48;-154.23;-207.83;-218.34;3.64;6.58;2.26;-8.645;-63.56;-183.705;-345.7351;-482.6399;-12.77;-35.34;-63.01;-83.12;-29.96;-89.7;-170.54;-242.05;0.8501;0.90342;1.3494;1.47831;1.60013;0.7616;146.18;10.5922;10.24075;2503.355;28.8572;938.9;968.03
02.09.2024;5.08;11.99;14.42;11.89;15.18;44.41499;83.565;120.17;0.5;1.35;1.11;-1.5;-159.78;-505;-1023.975;-1483.275;-68.93;-158;-208.74;-219.82;3.58;6.665;2.44;-8.3;-63.89;-184.72;-347.3501;-484.8049;-12.82;-35.45;-63.18;-83.15;-29.9;-89.59;-170.3;-242.135;0.85175;0.90338;1.34935;1.47232;1.60462;0.7604;146.925;10.5881;10.2543;2499.545;28.52;928.85;981.25
03.09.2024;5.23;11.53;13.68;11.55;16.15;43.78999;81.94;117.835;0.33;1.11;0.32;-1.5;-170.4;-505.2549;-1015.305;-1459.805;-70.4;-151.21;-195.82;-197.63;3.51;5.76;0.97;-10.85;-66.99;-182.09;-341.7251;-476.1899;-12.82;-35.52;-63.55;-84.02;-31.73;-88.87;-168.49;-239.42;0.85035;0.90559;1.3551;1.48998;1.61681;0.76255;145.475;10.69775;10.3201;2493.143;28.075;906.05;941.04
04.09.2024;4.78;10.62;11.95;8.15;15.55;43.42999;79.92;112.995;0.11;1.18;-0.88;-4.76;-162.43;-495.075;-1015.305;-1431.455;-66.88;-141;-161;-132.73;3.28;5.41;-1.77;-16.35001;-64.21;-179.32;-334.0901;-460.9751;-13.2;-34.3;-61.23;-79.16;-30.49;-87.935;-165.88;-233.33;0.8465;0.90163;1.35065;1.4871;1.61329;0.7607;143.74;10.6077;10.26015;2494.552;28.31;906.7;937.46
05.09.2024;4.53;10.59;11.35;6.56;15.12;43.83;80.785;114.34;0.08;1.34;-0.05;-2.98;-158.6;-491.9951;-1015.305;-1415.475;-62.88;-140.52;-159.33;-138;2.9;5.15;-1.67;-15.145;-61.94;-178.735;-333.97;-459.95;-12.62;-34.36;-61.92;-81;-29.4;-87.60001;-165.72;-232.94;0.84405;0.90261;1.35035;1.48357;1.60694;0.75885;143.455;10.6521;10.292;2516.692;28.8231;936.25;943.65
06.09.2024;4.68;10.96;11.05;4.95;15.24;43.97;79.42999;110.915;0.23;1.8;-0.6;-5.4;-161.04;-500.8501;-1015.305;-1383.9;-63.73;-144;-140.53;-84.82;2.91;5.16;-3.24;-20.7;-61.8;-177.79;-328.1799;-448.45;-12.13;-34.71;-62.85;-80;-29.58;-87.85001;-163.84;-228.9;0.84295;0.89924;1.35745;1.49914;1.61956;0.76185;142.29;10.6515;10.243;2516.96;27.945;931.05;914.5
09.09.2024;4.55;10.59;10.65;4.88;15.19;43.61;79.94501;113.85;0.27;1.46;-0.65;-4.8;-161.57;-499.23;-1015.305;-1404.365;-62.57;-144.25;-165.1;-123.51;3.01;5.505;-0.92;-14.745;-62.04;-178.485;-329.7;-452.5701;-12.01;-34.51;-62.13;-81.98;-29.84;-88.10001;-164.75;-230.27;0.84935;0.90555;1.35575;1.50139;1.62747;0.7649;143.185;10.8485;10.37945;2506.505;28.375;943.8;950
10.09.2024;4.83;10.31;9.54;3.19;16.66;43.35001;78.21001;110.465;0.21;1.5;-1.05;-6.14;-180.43;-496.8;-1015.305;-1384.015;-65.45;-140.52;-134.15;-66.3;2.64;4.725;-3.71;-18.92;-68;-176.86;-325.615;-445.4299;-11.85;-34.62;-61.41;-79.37;-32.82;-87.7;-163.88;-227.865;0.84695;0.90761;1.3611;1.50331;1.62602;0.76455;142.455;10.8459;10.39755;2516.472;28.405;943.88;968.55
11.09.2024;4.54;10.49;10.67;5.35;16.45;44.56;82.03;117.145;0.43;2.17;1.55;-1.59;-176.3;-512.6001;-1020.125;-1445.525;-66;-154.85;-173.19;-111.46;2.61;6.05;1.35;-8.53;-65.89;-178.415;-329.5701;-451.75;-12.93;-35.25;-64.93;-84.7;-32.2;-89.28;-167.995;-234.835;0.85225;0.90827;1.35745;1.49835;1.62959;0.7667;142.36;10.8851;10.3924;2511.813;28.71;943.5;1011.11
12.09.2024;4.04;9.75;9.51;4.15;14.98;42.39;77.595;108.2;0.35;2.25;0.2;-3.55;-158.73;-491.575;-1020.125;-1369.1;-54.35;-129.9;-126.7;-69.52;2.05;3.955;-3.9;-17.375;-60.59;-174.65;-322.24;-442.0349;-12.07;-34.06;-62.1;-81.43;-29.7;-87.67;-164.945;-229.1;0.8511;0.9058;1.3581;1.48754;1.61734;0.76195;141.815;10.7765;10.31475;2559.123;29.935;968.8;1049.01
13.09.2024;3.84;9.31;8.3;2.86;14.88;42.13;76.8;107.18;0.19;2.11;0.34;-3.7;-156.45;-478.6799;-1020.125;-1318.675;-53.05;-119.48;-126.7;-13.52;2.02;4.165;-3.72;-17.345;-60.05;-173.19;-317.04;-432.55;-10.93;-33.77;-61.45;-81.57;-29.43;-87.155;-162.67;-226.63;0.8491;0.90179;1.35855;1.49176;1.6243;0.762;140.835;10.6448;10.20155;2577.528;30.6775;1005.01;1071.26
16.09.2024;3.53;8.45;6.7;0.23;14.49;40.66;74.045;104.38;0.29;1.75;-0.35;-3.58;-152.31;-464.6899;-899.75;-1281.71;-46.5;-102.32;-73;25.88;1.37;2.435;-6.6;-21.19501;-59.46;-170.83;-312.9299;-426.6951;-10.49;-33.07;-61.15;-83.93;-29.1;-86.19;-160.1;-222.69;0.8448;0.89896;1.35865;1.48115;1.61264;0.75665;140.615;10.6113;10.1951;2582.96;30.785;989.85;1079.25
17.09.2024;3.67;8.42;7.2;1.44;15.41;40.91;75.05499;106.985;0.25;1.93;-0.15;-4.53;-163.5;-465.0549;-899.75;-1320.9;-49.45;-104.2;-75.68;9.83;1.56;2.845;-5.24;-18.59;-63.9;-172.89;-318.1101;-437.21;-10.56;-33.43;-63.07;-87.13;-31.4;-86.84;-161.5;-226.35;0.84715;0.89892;1.35975;1.48028;1.61655;0.75985;142.41;10.58835;10.18405;2570;30.76;982.55;1119.99
